Nome;Partido;Estado;Codigo;CD01O022O008720;CD01O022O008722;CD01O031O008729;CD01O031O008730;CD01O032E008733;CD01O035O008734;CD01O035O008735;CD01O035O008736;CD01O035O008738;CD01O035O008739;CD01O035O008740;CD01O036E008741;CD01O036E008742;CD01O036E008743;CD01O043O008748;CD01O043O008749;CD01O043O008751;CD01O043O008752;CD01O044E008756;CD01O044E008758;CD01O044E008759;CD01O044E008760;CD01O044E008761;CD01O044E008762;Lado;tsne-1d-one;tsne-2d-two
VALDEVAN NOVENTA;PSC;Sergipe;183;Sim;Sim;Não;Não;Sim;Não;Abstenção;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-11.90297;7.8291926
BACELAR;Podemos;Bahia;184;Não Votou;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não Votou;Sim;MINORIA;-25.714231;-18.582771
LÍDICE DA MATA;PSB;Bahia;185;Não Votou;Não Votou;Não Votou;Sim;Não;Não Votou;Não Votou;Não;Não;Não;Sim;Não Votou;Não Votou;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não Votou;Sim;Sim;OPOSIÇÃO;-17.833742;-17.06963
CLAUDIO CAJADO;PP;Bahia;186;Não;Sim;Não;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não Votou;Sim;GOVERNO;-8.558008;0.6944651
JOÃO CARLOS BACELAR;PR;Bahia;187;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não;Não Votou;Sim;Não Votou;Não Votou;Não;Sim;Sim;GOVERNO;-11.419185;-7.0214095
DANIEL ALMEIDA;PCdoB;Bahia;188;Não Votou;Não;Não;Não;Não;Sim;Não Votou;Sim;Sim;Não;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não Votou;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-21.117422;-17.351646
ANTONIO BRITO;PSD;Bahia;189;Não;Abstenção;Não;Não;Não Votou;Não;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não;Não;Não;Abstenção;Sim;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-2.1672733;-9.669857
ABÍLIO SANTANA;PR;Bahia;190;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;13.546053;8.864113
ADOLFO VIANA;PSDB;Bahia;191;Não;Sim;Sim;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;3.619069;0.46087265
ARTHUR OLIVEIRA MAIA;DEM;Bahia;192;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Sim;Sim;GOVERNO;-1.3561554;-4.577779
