Nome;Partido;Estado;Codigo;CD01O022O008720;CD01O022O008722;CD01O031O008729;CD01O031O008730;CD01O032E008733;CD01O035O008734;CD01O035O008735;CD01O035O008736;CD01O035O008738;CD01O035O008739;CD01O035O008740;CD01O036E008741;CD01O036E008742;CD01O036E008743;CD01O043O008748;CD01O043O008749;CD01O043O008751;CD01O043O008752;CD01O044E008756;CD01O044E008758;CD01O044E008759;CD01O044E008760;CD01O044E008761;CD01O044E008762;Lado;tsne-1d-one;tsne-2d-two
DELEGADO WALDIR;PSL;Goiás;421;Sim;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Sim;Não;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-25.63439;-16.575603
FLÁVIA MORAIS;PDT;Goiás;422;Não;Não Votou;Não;Não;Sim;Não;Não Votou;Não Votou;Não;Sim;Sim;Não;Não Votou;Não Votou;Sim;Sim;Não;Não;Não Votou;Sim;Não;Não;Sim;Sim;MINORIA;-5.2898874;2.4010277
ELIAS VAZ;PSB;Goiás;423;Sim;Não;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Sim;Sim;Obstrução;Obstrução;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-13.365461;-28.873184
FRANCISCO JR.;PSD;Goiás;424;Não;Sim;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;GOVERNO;-3.7921546;2.648714
RUBENS OTONI;PT;Goiás;425;Não;Não;Não;Não;Sim;Não;Não;Não Votou;Não;Sim;Sim;Não Votou;Não;Não;Não Votou;Não;Não;Não;Não Votou;Sim;Não Votou;Não;Sim;Sim;OPOSIÇÃO;2.2322233;5.4313564
GLAUSTIN FOKUS;PSC;Goiás;426;Não;Sim;Não;Não Votou;Não;Não;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não;Não Votou;Sim;GOVERNO;-14.620368;-10.97023
JOSE MARIO SCHREINER;DEM;Goiás;427;Não;Sim;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;GOVERNO;-15.336561;-7.945684
JOSÉ NELTO;Podemos;Goiás;428;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Sim;MINORIA;-14.873221;-8.61532
MAJOR VITOR HUGO;PSL;Goiás;429;Sim;Sim;Não Votou;Não Votou;Sim;Não;Não;Não;Não;Não Votou;Sim;Não;Não;Não;Sim;Sim;Não Votou;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Sim;GOVERNO;13.370353;1.935251
LUCAS VERGILIO;Solidariedade;Goiás;430;Não Votou;Sim;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;10.720843;16.618193
MAGDA MOFATTO;PR;Goiás;431;Não;Não Votou;Sim;Sim;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não Votou;Sim;GOVERNO;2.2782083;-1.8093181
PROFESSOR ALCIDES;PP;Goiás;432;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Não;Sim;Sim;GOVERNO;-13.158783;2.5877542
BETO PEREIRA;PSDB;Mato Grosso do Sul;433;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Não Votou;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;21.439785;5.458109
DAGOBERTO NOGUEIRA;PDT;Mato Grosso do Sul;434;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;0.39259127;5.3842177
DR. LUIZ OVANDO;PSL;Mato Grosso do Sul;435;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-15.58974;-20.05888
FÁBIO TRAD;PSD;Mato Grosso do Sul;436;Não;Sim;Não;Não;Sim;Não;Não Votou;Não Votou;Não;Sim;Abstenção;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;14.911252;9.586333
VANDER LOUBET;PT;Mato Grosso do Sul;438;Não;Não;Sim;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não Votou;Sim;OPOSIÇÃO;-0.79648906;6.5660315
LOESTER TRUTIS;PSL;Mato Grosso do Sul;439;Não Votou;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-23.844414;-14.368456
ROSE MODESTO;PSDB;Mato Grosso do Sul;440;Não;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-6.9165673;-5.0700636
ALIEL MACHADO;PSB;Paraná;441;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Não;Não Votou;Sim;Não;Não;Não Votou;Sim;OPOSIÇÃO;-12.753413;-13.759615
CHRISTIANE DE SOUZA YARED;PR;Paraná;442;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;15.914008;22.342937
ALINE SLEUTJES;PSL;Paraná;443;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Não;Não;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;27.007875;12.239518
AROLDO MARTINS;PRB;Paraná;444;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;GOVERNO;23.71918;11.071261
BOCA ABERTA;PROS;Paraná;445;Não;Não Votou;Não Votou;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não;Não;Não;Sim;Não;Não;Sim;Sim;MINORIA;-16.45061;-15.88329
FELIPE FRANCISCHINI;PSL;Paraná;446;Sim;Sim;Não;Não Votou;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-12.0214815;7.7990603
DIEGO GARCIA;Podemos;Paraná;447;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Não Votou;Não Votou;Sim;Sim;Sim;Não Votou;Obstrução;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;MINORIA;-15.057363;-24.259708
HERMES PARCIANELLO;MDB;Paraná;448;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;22.648008;13.077792
ENIO VERRI;PT;Paraná;449;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Não Votou;Não Votou;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-16.95678;-11.084071
FILIPE BARROS;PSL;Paraná;450;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-8.960467;7.2199106
GLEISI HOFFMANN;PT;Paraná;451;Não Votou;Não;Não Votou;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-16.081217;-2.5151014
GUSTAVO FRUET;PDT;Paraná;452;Não;Não;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;14.647528;18.875195
LEANDRE;PV;Paraná;453;Não Votou;Não Votou;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não Votou;Não;Não Votou;Não Votou;Não;Não Votou;Sim;Sim;Não;Não;Não Votou;Sim;MINORIA;7.824574;-1.390419
LUISA CANZIANI;PTB;Paraná;454;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-17.515945;-6.790233
VERMELHO;PSD;Paraná;455;Não;Sim;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Não;Não;Não;Não;Não Votou;Sim;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;15.62675;13.777727
LUCIANO DUCCI;PSB;Paraná;457;Não;Não;Não;Não;Sim;Não;Não;Não Votou;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não Votou;Não;Sim;Sim;OPOSIÇÃO;4.3755994;3.7144191
PAULO EDUARDO MARTINS;PSC;Paraná;458;Sim;Não Votou;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;20.45107;6.8865194
LUIZ NISHIMORI;PR;Paraná;459;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;Não Votou;Sim;Sim;Sim;GOVERNO;9.326675;5.401007
RUBENS BUENO;PPS;Paraná;460;Não Votou;Não Votou;Não;Não Votou;Sim;Não;Não Votou;Não Votou;Não;Sim;Não;Não;Não;Não;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;MINORIA;26.939318;14.876224
PEDRO LUPION;DEM;Paraná;461;Não;Não Votou;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;10.891662;24.804672
RICARDO BARROS;PP;Paraná;462;Não Votou;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;18.903172;10.136482
PROFESSOR LUIZÃO GOULART;PRB;Paraná;463;Não;Sim;Não;Não;Sim;Não Votou;Não Votou;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-18.47609;-5.9960847
SARGENTO FAHUR;PSD;Paraná;464;Sim;Sim;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;11.314848;0.6052681
GIACOBO;PR;Paraná;466;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Sim;Obstrução;Sim;Não Votou;Não Votou;Não Votou;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;GOVERNO;-20.057962;-11.151501
SERGIO SOUZA;MDB;Paraná;467;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;6.1167493;15.795855
ZECA DIRCEU;PT;Paraná;468;Não Votou;Não;Não Votou;Não Votou;Sim;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Sim;Não Votou;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;19.386251;18.135084
SCHIAVINATO;PP;Paraná;469;Não;Sim;Não;Não Votou;Sim;Não Votou;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;12.5482645;16.540789
TONINHO WANDSCHEER;PROS;Paraná;470;Não Votou;Sim;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;Não Votou;Não;Sim;Sim;MINORIA;10.436329;2.3757105
ANGELA AMIN;PP;Santa Catarina;471;Não;Sim;Não;Não Votou;Sim;Não;Não Votou;Não;Não Votou;Sim;Não;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não;Não;Sim;Sim;Não Votou;Não;Sim;Sim;GOVERNO;14.603501;11.482923
CELSO MALDANER;MDB;Santa Catarina;472;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;19.671658;12.68066
CARLOS CHIODINI;MDB;Santa Catarina;473;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;20.576948;8.9323635
CAROLINE DE TONI;PSL;Santa Catarina;474;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;20.812563;13.545903
CORONEL ARMANDO;PSL;Santa Catarina;475;Não Votou;Sim;Não Votou;Não;Sim;Não Votou;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não Votou;Não;Sim;Sim;GOVERNO;22.048515;10.697543
DANIEL FREITAS;PSL;Santa Catarina;476;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;11.552722;-5.8370996
CARMEN ZANOTTO;PPS;Santa Catarina;477;Não;Não Votou;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Não Votou;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;MINORIA;11.59687;5.5242624
DARCI DE MATOS;PSD;Santa Catarina;478;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;28.093166;6.6697536
FABIO SCHIOCHET;PSL;Santa Catarina;479;Não Votou;Sim;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Não Votou;Obstrução;Obstrução;Sim;Sim;Não Votou;Obstrução;Obstrução;Não;Sim;Obstrução;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-15.9299345;-25.135147
GILSON MARQUES;NOVO;Santa Catarina;480;Sim;Sim;Não Votou;Não Votou;Sim;Não;Não Votou;Não Votou;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Não Votou;Não;Não Votou;Sim;Sim;GOVERNO;12.496458;-0.15483344
PEDRO UCZAI;PT;Santa Catarina;481;Não;Não;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;2.8427682;4.17192
GEOVANIA DE SÁ;PSDB;Santa Catarina;482;Art.;Art.;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não Votou;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Sim;Sim;GOVERNO;13.310966;23.711205
ROGÉRIO PENINHA MENDONÇA;MDB;Santa Catarina;483;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;10.847643;0.7821364
HÉLIO COSTA;PRB;Santa Catarina;484;Sim;Sim;Não Votou;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;26.949936;12.7588625
RICARDO GUIDI;PSD;Santa Catarina;485;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;3.4948988;14.332264
ALCEU MOREIRA;MDB;Rio Grande do Sul;486;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Não Votou;Não;Não;Não;Abstenção;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;26.134466;9.810101
AFONSO HAMM;PP;Rio Grande do Sul;487;Sim;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não Votou;Não;Não;Não Votou;Não;Não Votou;Sim;Sim;Não;Não;Não Votou;Sim;GOVERNO;23.633263;4.125168
RODRIGO COELHO;PSB;Santa Catarina;488;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-14.363215;2.671516
BIBO NUNES;PSL;Rio Grande do Sul;489;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;11.477838;-3.5855196
AFONSO MOTTA;PDT;Rio Grande do Sul;490;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;15.913979;22.343218
DANIEL TRZECIAK;PSDB;Rio Grande do Sul;491;Não;Sim;Não;Não Votou;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Não Votou;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;5.877576;0.27342924
CARLOS GOMES;PRB;Rio Grande do Sul;492;Não;Sim;Não;Sim;Sim;Sim;Não Votou;Não;Não;Sim;Sim;Não Votou;Não;Não;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;16.896004;-1.2090012
GIOVANI FELTES;MDB;Rio Grande do Sul;494;Sim;Sim;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Não Votou;Obstrução;Obstrução;Sim;Sim;Obstrução;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-19.234838;-23.799393
DANRLEI DE DEUS HINTERHOLZ;PSD;Rio Grande do Sul;495;Não;Não Votou;Não Votou;Obstrução;Obstrução;Não Votou;Sim;Obstrução;Obstrução;Obstrução;Sim;Sim;Sim;Obstrução;Obstrução;Não;Sim;Obstrução;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-14.234503;-23.126667
FERNANDA MELCHIONNA;PSOL;Rio Grande do Sul;496;Não Votou;Não;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Obstrução;Sim;Sim;Sim;Obstrução;Obstrução;Sim;Sim;Obstrução;Não;Sim;Não;Não;Não Votou;Sim;OPOSIÇÃO;-12.324729;-26.915174
HENRIQUE FONTANA;PT;Rio Grande do Sul;498;Não;Não;Sim;Não Votou;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-16.165607;5.038324
BOHN GASS;PT;Rio Grande do Sul;499;Não;Não Votou;Sim;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;4.0934386;1.2309021
LIZIANE BAYER;PSB;Rio Grande do Sul;500;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-12.277225;-13.344984
LUCAS REDECKER;PSDB;Rio Grande do Sul;501;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;GOVERNO;29.282314;6.4975443
GIOVANI CHERINI;PR;Rio Grande do Sul;502;Não;Sim;Não Votou;Não;Não;Não Votou;Não;Não Votou;Não;Não;Sim;Não Votou;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-19.466867;-9.927836
MARCEL VAN HATTEM;NOVO;Rio Grande do Sul;503;Não Votou;Não Votou;Não;Não;Não;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;Não Votou;Não;Sim;Sim;GOVERNO;2.8073158;-6.1458535
HEITOR SCHUCH;PSB;Rio Grande do Sul;504;Não;Não;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;OPOSIÇÃO;-16.59035;-1.4415987
JERÔNIMO GOERGEN;PP;Rio Grande do Sul;505;Sim;Não Votou;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Sim;Sim;Obstrução;Obstrução;Sim;Não Votou;Obstrução;Não Votou;Sim;Não;Não;Sim;Sim;GOVERNO;-14.824624;-28.421703
MARCELO MORAES;PTB;Rio Grande do Sul;506;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não;Sim;Obstrução;Não;Sim;Não;Não;Não Votou;Sim;GOVERNO;-15.649161;-18.405699
MARCON;PT;Rio Grande do Sul;507;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-13.350373;-14.433217
MARIA DO ROSÁRIO;PT;Rio Grande do Sul;508;Não;Não;Não;Não;Sim;Não;Não;Não Votou;Não;Sim;Não;Não;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Sim;Sim;OPOSIÇÃO;15.887802;18.731398
MARLON SANTOS;PDT;Rio Grande do Sul;509;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não Votou;Não;Sim;Sim;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;MINORIA;16.566366;18.01758
MAURÍCIO DZIEDRICKI;PTB;Rio Grande do Sul;511;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-16.981499;-12.552691
NEREU CRISPIM;PSL;Rio Grande do Sul;512;Sim;Sim;Não;Não;Não Votou;Não;Não;Não;Não;Sim;Não;Não;Não;Não Votou;Sim;Sim;Sim;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;27.961426;13.778381
PAULO PIMENTA;PT;Rio Grande do Sul;513;Não Votou;Não Votou;Não;Não Votou;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;6.6103764;1.6519805
PEDRO WESTPHALEN;PP;Rio Grande do Sul;514;Não;Sim;Não Votou;Não;Sim;Não;Não Votou;Não Votou;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-6.6259785;3.909201
MÁRCIO BIOLCHI;MDB;Rio Grande do Sul;515;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;21.952103;3.2776701
POMPEO DE MATTOS;PDT;Rio Grande do Sul;516;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;13.864584;22.65791
UBIRATAN SANDERSON;PSL;Rio Grande do Sul;517;Sim;Sim;Não Votou;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-20.28737;-8.914276
JORGE BRAZ;PRB;Rio de Janeiro;518;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Não Votou;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Sim;Não Votou;Não;Sim;Sim;GOVERNO;16.827791;10.230551
DAVID MIRANDA;PSOL;Rio de Janeiro;519;Não Votou;Não;Não Votou;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-9.473737;-11.968009
LUIS MIRANDA;DEM;Distrito Federal;525;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-10.56559;-9.742481
MARCELO BRUM;PSL;Rio Grande do Sul;526;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;19.059872;7.378661
