Nome;Partido;Estado;Codigo;CD01O004O008658;CD01O004O008660;CD01O006O008679;CD01O008E008686;CD01O010O008688;CD01O010O008689;CD01O010O008694;CD01O010O008695;CD01O011O008696;CD01O011O008697;CD01O011O008698;CD01O011O008699;CD01O011O008700;CD01O011O008701;CD01O011O008702;CD01O012E008703;CD01O012E008704;CD01O012E008705;CD01O013E008706;Lado;tsne-1d-one;tsne-2d-two
GILBERTO ABRAMO;PRB;Minas Gerais;246;Não Votou;Sim;Sim;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Não;Não;GOVERNO;-4.377672;-1.7401416
NEWTON CARDOSO JR;MDB;Minas Gerais;247;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não;Não;Não Votou;Não;Não;Não;Sim;Não Votou;Não;Não;GOVERNO;-14.6390085;-15.407526
GREYCE ELIAS;Avate;Minas Gerais;248;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Não;Não;Não;Não Votou;Sim;Não;Não;MINORIA;-19.048018;-11.346973
PATRUS ANANIAS;PT;Minas Gerais;249;Obstrução;Obstrução;Não;Obstrução;Sim;Não;Sim;Não;Obstrução;Não;Não;Sim;Obstrução;Não;Não;Não Votou;Sim;Não;Obstrução;OPOSIÇÃO;-21.587152;-22.578878
JÚLIO DELGADO;PSB;Minas Gerais;250;Não Votou;Sim;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;Sim;Não;Não;OPOSIÇÃO;-26.62775;-15.435742
LUIS TIBÉ;Avate;Minas Gerais;251;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;MINORIA;-8.027449;-9.927296
MAURO LOPES;MDB;Minas Gerais;252;Não Votou;Não;Sim;Não;Abstenção;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Sim;Não;Não;Sim;Não;GOVERNO;3.375004;11.020409
LEONARDO MONTEIRO;PT;Minas Gerais;253;Não Votou;Não Votou;Não;Não Votou;Sim;Não;Sim;Não;Obstrução;Não;Não;Sim;Obstrução;Sim;Não;Não Votou;Sim;Não;Obstrução;OPOSIÇÃO;-22.534422;-25.591137
HERCÍLIO COELHO DINIZ;MDB;Minas Gerais;254;Não Votou;Não Votou;Sim;Não;Não;Não;Não Votou;Sim;Não;Sim;Não;Não Votou;Não Votou;Não;Não;Não;Não;Não;Não;GOVERNO;1.1086215;-6.8267317
IGOR TIMO;Podemos;Minas Gerais;255;Não Votou;Não Votou;Sim;Não;Sim;Não Votou;Sim;Não;Não Votou;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;MINORIA;-0.9286529;-11.912543
LAFAYETTE DE ANDRADA;PRB;Minas Gerais;256;Não;Não Votou;Sim;Não;Sim;Não;Sim;Não;Não Votou;Não Votou;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;6.413641;-2.577027
LÉO MOTTA;PSL;Minas Gerais;257;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não;GOVERNO;24.153759;22.892605
LUCAS GONZALEZ;NOVO;Minas Gerais;258;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;15.42948;6.641995
